Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%)
France,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2021,48.65,4330.02,18640.24,2.83,Free,197.08,11.34
Sweden,BTS,Proof,EDM,2023,95.77,4977.34,17975.85,3.94,Free,38.79,9.49
India,Ed Sheeran,Autumn Variations,Jazz,2018,75.05,332.97,1221.45,3.51,Free,12.32,20.81
Canada,Drake,For All The Dogs,Classical,2018,67.85,1214.26,3326.8,4.28,Free,116.2,2.55
Brazil,BLACKPINK,BORN PINK,Classical,2022,52.76,4676.8,13602.56,3.93,Free,53.86,6.1
South Korea,Dua Lipa,Future Nostalgia,Indie,2018,1.92,3124.74,11330.27,2.7,Free,101.67,6.17
Italy,SZA,SOS,Hip Hop,2019,37.58,830.85,3462.56,3.91,Free,133.9,22.63
Germany,SZA,SOS,Reggaeton,2020,12.43,579.83,2091.13,3.04,Free,143.8,8.94
Mexico,Ariana Grande,Eternal Sunshine,Rock,2020,90.63,4238.21,11377.89,3.35,Premium,9.77,14.01
United Kingdom,Billie Eilish,Happier Than Ever,K-pop,2019,74.38,2780.82,9330.69,2.52,Free,189.07,27.95
United Kingdom,Ariana Grande,Eternal Sunshine,Pop,2020,58.67,783.06,2157.24,3.12,Free,179.89,9.19
France,Billie Eilish,Happier Than Ever,Hip Hop,2020,78.23,4426.47,14663.81,3.74,Free,185.23,10.23
Canada,Post Malone,Austin,Reggaeton,2021,3.45,3695.99,11695.48,4.36,Free,54.09,31.71
Germany,BLACKPINK,BORN PINK,Pop,2021,23.02,4092.1,13997.46,3.11,Free,45.36,26.74
Spain,Olivia Rodrigo,Guts,K-pop,2018,96.72,1431.67,5415.96,3.3,Premium,187.91,5.5
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2020,4.79,3003.03,9583.79,4.07,Premium,121.64,20.95
Spain,SZA,SOS,Classical,2019,26.22,3558.49,8908.26,4.35,Free,73.48,3.73
Japan,Ed Sheeran,Autumn Variations,Indie,2023,84.95,3612.78,11201.95,3.12,Premium,65.91,28.19
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2021,66.83,1926.77,7699.89,2.85,Premium,81.81,33.52
South Korea,BTS,Proof,R&B,2021,78.79,3052.97,9600.06,3.38,Free,102.72,31.96
Canada,Billie Eilish,Happier Than Ever,Hip Hop,2020,52.03,3183.06,10091.5,4.14,Free,134.89,9.76
Australia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2018,25.24,2401.92,10086.8,2.65,Premium,177.34,23.45
Spain,Dua Lipa,Future Nostalgia,EDM,2019,15.61,3453.73,14800.34,4.22,Free,155.91,9.53
Indonesia,Dua Lipa,Future Nostalgia,Pop,2022,25.67,4249.26,14502.4,4.1,Premium,190.06,35.77
Argentina,Doja Cat,Scarlet,Jazz,2021,83.23,2761.97,11861.05,3.99,Premium,90.56,30.32
Mexico,Post Malone,Austin,Jazz,2021,63.05,1409.26,3741.54,3.07,Premium,67.83,35.83
Brazil,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2019,38.92,806.39,2361.03,3.33,Premium,108.98,17.22
Australia,Doja Cat,Scarlet,EDM,2021,90.58,2941.19,11444.31,4.21,Premium,95.92,37.77
South Korea,Post Malone,Austin,EDM,2021,54.28,3686.44,15113.43,4.3,Premium,44.66,18.0
United States,BLACKPINK,BORN PINK,Indie,2023,68.24,2051.37,5805.56,3.43,Free,196.16,21.83
Spain,Ed Sheeran,Autumn Variations,Classical,2023,3.68,3231.61,8956.08,3.42,Free,52.77,13.77
Sweden,Olivia Rodrigo,Guts,Indie,2021,28.55,4758.46,15908.15,4.17,Premium,4.86,22.04
Italy,The Weeknd,After Hours,Hip Hop,2023,4.99,203.6,609.69,4.18,Free,48.47,19.47
Germany,Ed Sheeran,Autumn Variations,R&B,2021,70.25,3846.15,10906.06,3.71,Free,155.78,7.39
South Korea,Drake,For All The Dogs,Classical,2018,92.96,2900.19,12517.37,3.25,Free,16.12,27.93
France,Drake,For All The Dogs,K-pop,2023,60.44,649.22,2900.51,4.07,Premium,107.02,26.8
Brazil,Ariana Grande,Eternal Sunshine,Indie,2018,85.11,4120.54,11171.1,4.42,Premium,141.75,17.98
Indonesia,Billie Eilish,Happier Than Ever,K-pop,2022,81.01,2713.96,9409.29,3.37,Premium,65.14,10.57
Brazil,BTS,Proof,Rock,2019,75.3,2870.76,11013.32,3.17,Premium,170.34,8.09
Australia,Olivia Rodrigo,Guts,K-pop,2020,28.69,3000.97,12784.78,3.61,Free,18.04,29.08
Russia,Ariana Grande,Eternal Sunshine,R&B,2023,48.13,3573.62,12137.26,2.53,Premium,45.1,27.98
South Korea,Billie Eilish,Happier Than Ever,Classical,2020,47.85,2678.06,8974.2,3.99,Premium,71.01,18.7
South Korea,BTS,Proof,R&B,2018,72.41,1611.96,6424.89,4.4,Free,39.12,29.81
Mexico,Karol G,MAÑANA SERÁ BONITO,Classical,2022,60.08,4903.53,20424.46,3.09,Premium,36.71,1.55
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2018,97.46,2789.13,10863.2,2.75,Premium,21.41,1.48
South Korea,Dua Lipa,Future Nostalgia,Rock,2021,34.73,4829.21,14511.57,4.22,Free,164.6,16.63
Brazil,Ed Sheeran,Autumn Variations,Pop,2019,15.77,2836.06,8813.54,4.49,Free,112.06,17.23
Argentina,Post Malone,Austin,Classical,2019,77.79,1932.87,8344.22,3.09,Premium,61.77,25.22
Argentina,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,62.93,1360.0,3620.83,2.98,Free,32.15,16.93
Argentina,Dua Lipa,Future Nostalgia,K-pop,2018,23.92,3549.43,13863.99,3.41,Free,184.86,31.73
Turkey,Billie Eilish,Happier Than Ever,R&B,2021,12.36,1162.81,3253.52,3.03,Free,15.21,7.47
South Korea,Ed Sheeran,Autumn Variations,Classical,2020,44.48,2370.05,7366.55,3.31,Premium,100.59,20.26
Brazil,Ed Sheeran,Autumn Variations,Pop,2021,73.72,3038.38,7753.12,2.96,Free,199.91,27.22
Mexico,Ed Sheeran,Autumn Variations,Pop,2019,47.58,3274.97,14187.65,2.86,Premium,127.32,20.18
Brazil,Dua Lipa,Future Nostalgia,Indie,2021,34.0,3367.16,14194.15,3.16,Premium,58.36,37.86
South Africa,Taylor Swift,1989 (Taylor's Version),Rock,2018,32.14,1650.21,7327.54,3.31,Free,131.87,22.16
Netherlands,Taylor Swift,1989 (Taylor's Version),R&B,2022,36.82,3794.39,14232.06,4.02,Free,54.14,6.11
South Korea,Dua Lipa,Future Nostalgia,Rock,2018,3.86,3168.61,12986.95,3.92,Premium,110.62,22.54
Brazil,The Weeknd,After Hours,Hip Hop,2021,94.76,3256.16,9143.11,4.37,Premium,102.27,11.66
Russia,Dua Lipa,Future Nostalgia,R&B,2021,55.58,1948.75,8464.86,3.52,Free,172.94,11.77
Netherlands,Olivia Rodrigo,Guts,Jazz,2020,82.23,1450.05,4490.97,3.67,Premium,173.19,18.42
Russia,Olivia Rodrigo,Guts,Indie,2022,76.52,1917.19,8369.89,4.24,Free,114.79,10.11
Netherlands,Taylor Swift,1989 (Taylor's Version),Indie,2023,47.82,4571.48,14914.28,4.48,Free,99.57,2.44
Indonesia,Ed Sheeran,Autumn Variations,Indie,2018,87.54,2229.52,7919.04,3.41,Free,82.59,26.54
United Kingdom,Drake,For All The Dogs,Rock,2020,34.52,3478.89,13218.65,4.2,Premium,190.87,25.45
Russia,Doja Cat,Scarlet,Jazz,2018,62.13,1212.11,4689.41,3.07,Free,149.61,17.92
Germany,Post Malone,Austin,Hip Hop,2021,17.47,1532.36,3919.62,3.15,Free,59.38,15.62
United Kingdom,The Weeknd,After Hours,Jazz,2021,57.03,3972.97,11283.1,2.66,Premium,124.32,10.39
Turkey,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2021,64.15,2324.87,8912.81,4.3,Premium,180.34,27.43
Canada,Drake,For All The Dogs,Rock,2020,98.78,1530.81,6772.39,3.88,Premium,169.22,8.77
Spain,Doja Cat,Scarlet,Rock,2018,24.48,2881.02,10514.64,4.49,Premium,5.37,33.37
Spain,BTS,Proof,Pop,2022,86.64,3902.64,17355.84,4.32,Premium,166.73,36.21
France,Ed Sheeran,Autumn Variations,Indie,2019,64.03,3123.41,12042.4,3.94,Free,126.02,36.23
India,BTS,Proof,Rock,2018,58.38,3675.18,9850.46,3.09,Premium,35.95,6.15
South Africa,SZA,SOS,Indie,2022,50.68,1399.01,3957.92,4.33,Premium,193.51,12.51
Japan,Post Malone,Austin,Hip Hop,2021,96.33,746.75,3310.34,4.22,Premium,193.49,32.38
Italy,Drake,For All The Dogs,EDM,2018,27.18,661.76,2142.23,4.0,Premium,117.33,33.07
Italy,Drake,For All The Dogs,R&B,2021,3.48,4426.96,16038.06,4.33,Free,129.88,25.78
Sweden,SZA,SOS,K-pop,2023,41.42,741.9,3258.81,3.11,Premium,24.11,10.16
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2021,37.73,4749.43,18489.38,3.58,Free,177.2,26.54
Russia,Ed Sheeran,Autumn Variations,EDM,2020,4.24,1884.12,6381.07,4.4,Premium,20.77,27.74
South Africa,SZA,SOS,Indie,2018,40.42,989.55,2715.64,4.2,Premium,19.24,9.27
Argentina,Taylor Swift,1989 (Taylor's Version),Pop,2020,25.11,673.32,2443.58,2.64,Free,117.69,32.71
France,Olivia Rodrigo,Guts,Reggaeton,2022,1.28,4299.11,11991.83,2.76,Premium,159.9,5.29
United States,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2020,79.21,1227.76,3864.43,2.85,Free,26.22,17.42
Germany,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2021,45.38,1842.09,6792.4,3.4,Free,189.14,2.69
Indonesia,BTS,Proof,Rock,2023,96.44,351.09,1214.06,3.3,Free,98.56,36.48
Brazil,SZA,SOS,Hip Hop,2020,61.22,375.13,1144.16,3.77,Premium,76.8,24.3
South Korea,Dua Lipa,Future Nostalgia,Jazz,2022,43.59,3975.83,10849.36,3.81,Free,86.58,35.64
Netherlands,Olivia Rodrigo,Guts,Rock,2021,42.18,520.67,1746.08,3.83,Premium,190.76,27.79
Russia,Drake,For All The Dogs,Hip Hop,2018,10.23,527.99,2100.13,4.12,Free,117.71,22.9
Japan,Billie Eilish,Happier Than Ever,Hip Hop,2021,36.01,3343.44,13375.66,4.24,Free,193.71,24.42
Italy,Drake,For All The Dogs,Classical,2022,22.06,3300.84,9732.49,2.72,Premium,23.86,11.86
France,Post Malone,Austin,EDM,2022,97.48,4101.21,15285.81,3.79,Free,122.19,26.66
Mexico,Taylor Swift,1989 (Taylor's Version),Reggaeton,2020,70.57,1579.47,5022.16,2.51,Free,113.7,16.63
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Pop,2018,74.87,1114.91,3723.43,3.18,Premium,63.02,13.65
Turkey,Ed Sheeran,Autumn Variations,Hip Hop,2018,16.4,3784.46,9837.8,2.66,Premium,132.73,19.94
Sweden,BLACKPINK,BORN PINK,K-pop,2019,75.74,613.4,2060.92,3.07,Premium,105.86,13.03
France,BLACKPINK,BORN PINK,Classical,2018,1.76,1542.03,4506.53,2.77,Premium,58.6,5.68
Russia,Karol G,MAÑANA SERÁ BONITO,EDM,2019,13.79,2686.28,7951.98,3.62,Premium,15.34,34.61
India,BLACKPINK,BORN PINK,Pop,2021,92.2,4317.44,15765.21,3.65,Premium,58.61,16.8
Japan,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2021,83.37,4602.86,12318.45,4.19,Free,87.7,16.62
Brazil,BLACKPINK,BORN PINK,K-pop,2023,34.61,1698.69,4817.94,3.52,Free,106.59,8.56
Italy,Olivia Rodrigo,Guts,Reggaeton,2019,11.18,1317.04,3749.61,2.81,Free,36.25,31.14
Russia,Dua Lipa,Future Nostalgia,Classical,2022,45.44,4624.56,16782.45,3.77,Premium,172.99,25.46
United Kingdom,Dua Lipa,Future Nostalgia,Hip Hop,2021,44.78,1548.96,4723.32,2.61,Free,62.77,18.62
India,Olivia Rodrigo,Guts,K-pop,2018,64.82,4887.97,13102.66,3.69,Premium,93.08,22.62
India,Dua Lipa,Future Nostalgia,Classical,2023,19.64,3044.78,10665.06,4.42,Premium,21.6,36.07
Japan,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2022,64.97,243.75,954.34,4.48,Free,73.42,36.8
Spain,BLACKPINK,BORN PINK,Indie,2023,60.19,3956.67,15014.02,2.63,Free,112.03,16.08
Mexico,Karol G,MAÑANA SERÁ BONITO,Classical,2019,34.0,2934.56,8166.46,3.2,Premium,26.66,28.64
Brazil,BTS,Proof,Jazz,2021,64.71,1675.96,4618.25,3.91,Free,129.56,17.51
Italy,Taylor Swift,1989 (Taylor's Version),Indie,2020,18.85,1110.25,4879.92,3.47,Free,200.0,7.04
South Korea,Doja Cat,Scarlet,Hip Hop,2022,77.32,4183.84,17853.97,2.58,Premium,175.4,25.1
Argentina,BLACKPINK,BORN PINK,Reggaeton,2019,18.9,3479.59,13046.66,4.31,Premium,9.69,15.21
France,Dua Lipa,Future Nostalgia,Classical,2020,75.49,3929.81,11663.7,2.98,Premium,180.89,8.57
Turkey,Dua Lipa,Future Nostalgia,Rock,2020,78.03,2539.39,8474.76,2.82,Free,160.45,6.4
Mexico,Taylor Swift,1989 (Taylor's Version),Rock,2020,55.9,557.82,2338.26,4.2,Premium,17.69,7.25
Sweden,SZA,SOS,Jazz,2019,83.27,503.98,2177.7,4.13,Premium,186.16,17.18
Spain,Ariana Grande,Eternal Sunshine,Indie,2019,39.23,453.95,1338.73,3.14,Free,168.0,26.35
United Kingdom,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Pop,2020,91.82,2388.65,9942.09,4.02,Premium,90.27,1.2
Brazil,Taylor Swift,1989 (Taylor's Version),K-pop,2019,83.66,2766.58,10940.36,3.56,Free,155.46,10.27
Germany,Taylor Swift,1989 (Taylor's Version),R&B,2021,64.26,3132.91,8225.81,4.17,Premium,119.75,1.64
Indonesia,Ed Sheeran,Autumn Variations,R&B,2023,15.21,2174.73,8110.91,2.98,Premium,38.28,27.06
Indonesia,Olivia Rodrigo,Guts,Hip Hop,2022,54.86,3942.74,13859.7,2.54,Premium,9.66,16.09
Italy,BTS,Proof,Pop,2020,79.06,1756.77,6967.14,3.76,Premium,27.55,14.74
Japan,Doja Cat,Scarlet,Reggaeton,2023,47.0,3492.18,13142.72,4.12,Free,143.49,37.8
India,BTS,Proof,R&B,2018,79.32,4434.66,13885.77,3.12,Premium,197.84,22.18
Mexico,Taylor Swift,1989 (Taylor's Version),R&B,2020,36.34,3915.17,16567.42,3.16,Free,160.07,18.04
Spain,Karol G,MAÑANA SERÁ BONITO,Rock,2021,34.56,974.75,3786.06,3.23,Premium,160.43,29.36
Brazil,BLACKPINK,BORN PINK,Classical,2019,55.0,1640.0,4362.63,3.82,Premium,89.74,28.99
Canada,Karol G,MAÑANA SERÁ BONITO,Rock,2020,45.27,3647.73,15769.92,3.73,Premium,55.64,39.22
India,Drake,For All The Dogs,EDM,2020,51.8,3762.0,10608.74,2.56,Premium,7.92,3.62
Italy,Olivia Rodrigo,Guts,EDM,2022,4.21,809.52,2752.24,3.24,Premium,152.85,23.38
Indonesia,Olivia Rodrigo,Guts,EDM,2020,65.31,1285.58,3505.64,3.97,Premium,104.03,36.63
Germany,BTS,Proof,K-pop,2023,45.18,4982.01,15300.52,4.33,Premium,40.84,6.29
Brazil,Dua Lipa,Future Nostalgia,Reggaeton,2023,45.07,484.56,1872.27,4.19,Premium,133.9,28.67
South Africa,Ariana Grande,Eternal Sunshine,K-pop,2020,85.28,3573.46,15561.16,3.78,Premium,102.24,5.73
Australia,Post Malone,Austin,Reggaeton,2019,79.25,180.11,649.84,3.24,Free,122.78,4.36
South Korea,BLACKPINK,BORN PINK,Rock,2022,41.67,2076.7,7579.54,2.75,Premium,128.83,18.55
Indonesia,Olivia Rodrigo,Guts,Reggaeton,2022,64.34,950.72,4214.09,3.37,Free,166.45,21.21
South Korea,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2020,93.54,1166.08,5124.88,3.54,Premium,169.34,10.77
South Africa,BTS,Proof,Reggaeton,2023,30.98,2690.72,9431.37,2.84,Free,35.07,25.35
Argentina,Olivia Rodrigo,Guts,Classical,2018,82.7,190.45,493.44,3.78,Premium,130.57,30.91
Netherlands,Ed Sheeran,Autumn Variations,Pop,2021,89.01,2750.61,10407.8,3.1,Free,161.13,27.71
South Korea,Dua Lipa,Future Nostalgia,Hip Hop,2023,6.93,2226.05,7721.06,2.91,Free,63.2,29.02
Italy,BLACKPINK,BORN PINK,Reggaeton,2020,51.98,575.61,1717.32,2.75,Premium,50.34,4.78
South Korea,BLACKPINK,BORN PINK,Classical,2021,25.58,4333.27,12217.22,3.15,Premium,38.78,7.21
Indonesia,Dua Lipa,Future Nostalgia,Rock,2020,50.24,495.74,1629.24,3.41,Free,43.81,14.76
India,BTS,Proof,Rock,2022,88.35,3288.59,11316.61,3.57,Free,86.75,35.42
Italy,Post Malone,Austin,EDM,2020,5.48,303.23,1098.79,3.23,Premium,15.63,20.67
South Africa,BTS,Proof,Classical,2023,61.49,686.88,1850.02,3.25,Premium,112.01,15.26
United Kingdom,The Weeknd,After Hours,Classical,2022,40.74,249.26,642.55,3.93,Premium,104.35,6.81
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2022,32.53,1995.13,7447.82,4.19,Premium,101.96,20.88
Russia,Karol G,MAÑANA SERÁ BONITO,Classical,2020,48.01,132.35,418.55,2.72,Premium,117.16,32.07
United States,Ed Sheeran,Autumn Variations,Rock,2020,96.74,3925.37,15906.87,3.66,Free,117.12,7.65
Argentina,Post Malone,Austin,EDM,2019,82.34,1248.87,4552.31,3.9,Free,4.77,13.23
United Kingdom,BLACKPINK,BORN PINK,R&B,2021,50.68,3076.82,10594.14,4.2,Free,141.45,21.23
South Africa,Olivia Rodrigo,Guts,Rock,2022,38.31,4785.59,16363.5,3.57,Premium,135.5,34.84
Mexico,Ed Sheeran,Autumn Variations,Rock,2019,95.78,1431.08,4432.05,4.38,Premium,154.46,28.49
Russia,Olivia Rodrigo,Guts,Rock,2020,56.49,4675.7,18437.82,3.08,Premium,179.26,16.39
Italy,Post Malone,Austin,Reggaeton,2020,5.16,4778.8,12702.33,4.35,Premium,149.72,9.35
South Africa,BTS,Proof,Jazz,2023,27.89,590.67,2351.92,2.98,Free,134.3,21.71
France,Taylor Swift,1989 (Taylor's Version),Hip Hop,2021,33.7,2388.4,9224.92,2.77,Free,81.97,37.47
Russia,Dua Lipa,Future Nostalgia,R&B,2020,32.8,3247.19,14014.46,2.68,Free,107.5,29.2
India,SZA,SOS,Reggaeton,2021,88.34,920.15,3992.78,4.49,Premium,157.8,8.27
South Korea,SZA,SOS,Pop,2018,30.54,3033.78,13217.91,3.17,Premium,197.83,22.19
Russia,SZA,SOS,Reggaeton,2022,47.33,1004.42,2737.34,2.82,Premium,130.01,29.03
United States,Karol G,MAÑANA SERÁ BONITO,Indie,2020,57.21,3798.55,10829.63,4.21,Premium,165.57,21.1
Brazil,BLACKPINK,BORN PINK,Hip Hop,2019,98.19,2413.4,10550.54,2.51,Premium,47.87,30.4
Japan,BTS,Proof,Classical,2023,57.71,1344.69,4328.7,2.97,Free,93.61,7.23
Indonesia,SZA,SOS,K-pop,2023,12.62,4584.85,14167.53,3.73,Free,191.51,19.65
Sweden,Karol G,MAÑANA SERÁ BONITO,Classical,2020,42.17,2768.71,9528.95,3.58,Free,152.61,27.53
Argentina,Doja Cat,Scarlet,Hip Hop,2022,45.23,3533.64,9386.07,3.63,Free,165.93,36.21
Australia,Ed Sheeran,Autumn Variations,Jazz,2019,17.29,4279.71,14481.17,3.86,Premium,19.1,20.9
India,Dua Lipa,Future Nostalgia,Reggaeton,2022,42.13,2841.36,10278.89,3.85,Premium,144.93,16.44
United States,Karol G,MAÑANA SERÁ BONITO,R&B,2022,8.23,2147.3,8376.12,3.58,Free,186.98,3.69
Russia,Taylor Swift,1989 (Taylor's Version),K-pop,2021,18.82,720.37,2725.2,3.96,Premium,75.52,35.76
Sweden,Doja Cat,Scarlet,EDM,2021,8.94,4822.51,20491.36,2.77,Premium,24.61,39.72
Spain,Ariana Grande,Eternal Sunshine,Reggaeton,2023,97.89,4182.37,16781.17,4.46,Premium,135.03,22.23
South Africa,BLACKPINK,BORN PINK,R&B,2019,46.6,817.85,2352.92,4.25,Free,7.41,26.75
Argentina,Post Malone,Austin,Pop,2019,21.4,549.44,1410.5,3.7,Free,49.7,2.73
Sweden,The Weeknd,After Hours,Jazz,2019,75.68,3891.51,10819.45,4.49,Free,163.34,29.53
Japan,Ed Sheeran,Autumn Variations,Classical,2023,82.02,1222.67,5199.42,4.47,Free,83.3,11.73
South Africa,Ed Sheeran,Autumn Variations,Reggaeton,2023,68.2,2801.46,7266.34,3.19,Premium,157.38,13.43
Netherlands,BLACKPINK,BORN PINK,Reggaeton,2020,38.27,3784.36,13044.83,4.2,Premium,171.65,6.63
Sweden,SZA,SOS,Pop,2022,41.86,2111.71,7517.65,3.28,Premium,41.46,26.22
Sweden,Doja Cat,Scarlet,Indie,2018,54.03,4155.56,10817.23,3.25,Free,174.85,8.34
Turkey,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,48.46,4353.9,13784.14,4.41,Free,43.15,8.41
Germany,Karol G,MAÑANA SERÁ BONITO,Rock,2019,69.87,3533.65,11637.24,2.98,Premium,155.33,15.85
South Africa,Billie Eilish,Happier Than Ever,Indie,2020,26.89,2588.44,9045.44,2.7,Premium,152.56,13.49
Australia,Olivia Rodrigo,Guts,Indie,2021,5.53,4327.22,17233.17,2.53,Premium,59.74,8.65
France,BLACKPINK,BORN PINK,Classical,2019,50.43,3290.31,12732.49,3.01,Premium,193.34,26.03
Russia,Dua Lipa,Future Nostalgia,Reggaeton,2023,79.7,887.87,3498.76,3.48,Free,105.26,33.72
Brazil,Doja Cat,Scarlet,Pop,2018,41.83,4220.6,12505.08,3.91,Free,44.53,18.78
India,Ed Sheeran,Autumn Variations,Classical,2021,66.27,127.87,455.78,3.32,Free,106.35,11.71
South Korea,Taylor Swift,1989 (Taylor's Version),Jazz,2023,67.73,4040.53,17453.26,2.71,Free,105.35,10.4
Argentina,Ariana Grande,Eternal Sunshine,K-pop,2020,27.47,2014.64,6539.73,3.31,Free,198.06,9.81
Brazil,Billie Eilish,Happier Than Ever,Pop,2018,41.12,1916.99,6617.47,3.77,Free,17.45,33.97
Japan,Ed Sheeran,Autumn Variations,Hip Hop,2022,92.0,1187.34,5108.58,3.88,Premium,54.95,37.04
Mexico,SZA,SOS,Jazz,2022,66.15,937.8,3939.56,2.53,Free,117.82,30.34
Spain,SZA,SOS,Hip Hop,2020,17.08,1240.34,5171.35,3.28,Premium,77.39,29.85
Brazil,Ariana Grande,Eternal Sunshine,Indie,2018,10.67,1199.11,3180.08,3.71,Premium,193.82,13.73
Mexico,Post Malone,Austin,Rock,2021,23.59,2787.54,9061.89,2.87,Premium,18.05,25.13
France,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2018,27.53,1931.0,7854.88,2.81,Premium,64.02,5.16
United States,BTS,Proof,Rock,2020,76.37,556.05,1487.21,3.36,Premium,21.56,4.5
South Africa,Drake,For All The Dogs,Classical,2022,78.66,4325.4,10920.26,3.33,Free,145.24,22.82
France,Ed Sheeran,Autumn Variations,Jazz,2019,68.85,889.03,2700.73,3.04,Free,13.59,17.95
Netherlands,BTS,Proof,Rock,2018,36.75,4723.9,18620.66,3.49,Free,92.11,6.28
United States,BLACKPINK,BORN PINK,Indie,2022,38.61,4317.88,14596.36,3.36,Free,60.79,24.53
Australia,Dua Lipa,Future Nostalgia,Indie,2019,96.49,4845.19,14937.22,3.89,Premium,193.58,31.5
Japan,BLACKPINK,BORN PINK,K-pop,2021,37.14,4663.73,13522.95,4.49,Free,136.66,22.45
Sweden,Karol G,MAÑANA SERÁ BONITO,R&B,2021,79.97,4164.84,10988.17,4.2,Premium,134.92,6.43
South Korea,The Weeknd,After Hours,K-pop,2023,16.26,2144.48,6978.1,3.4,Premium,116.87,21.84
Netherlands,Ariana Grande,Eternal Sunshine,Pop,2020,70.46,4070.87,15011.9,4.33,Free,154.02,26.65
Italy,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2018,56.76,3242.9,12301.9,4.43,Premium,193.18,17.79
United States,Drake,For All The Dogs,K-pop,2019,51.56,2618.05,9584.78,3.65,Premium,75.45,19.06
Turkey,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,35.15,171.59,464.85,3.33,Free,24.1,37.69
